feature,U_stat,p_value,sig_05,sig_01,sig_001,risky_median,safe_median,median_diff
Attr46,6588468.5,5.170772879732359e-72,True,True,True,0.4759,0.7454,-0.2695
Attr26,6616750.5,1.3093252982523033e-70,True,True,True,0.0095,0.0932,-0.0837
Attr16,6618303.0,1.561992098180552e-70,True,True,True,0.0099,0.1022,-0.0923
Attr13,6748968.5,3.0927646376874735e-64,True,True,True,0.0034,0.0321,-0.0288
Attr35,6842757.5,6.679023192389104e-60,True,True,True,-0.0184,0.0294,-0.0477
Attr24,6850070.5,1.4311788065700418e-59,True,True,True,0.0013,0.0729,-0.0716
Attr39,6857132.0,2.988517944190874e-59,True,True,True,-0.0101,0.016,-0.0261
Attr19,7009472.5,1.4034259130507386e-52,True,True,True,-0.0083,0.0119,-0.0202
Attr23,7044609.0,4.246339367064173e-51,True,True,True,-0.0071,0.0093,-0.0165
Attr12,7045175.5,4.4861388767294935e-51,True,True,True,-0.0256,0.0484,-0.074
Attr14,7045336.0,4.553793375305943e-51,True,True,True,-0.0128,0.0224,-0.0352
ebit_to_assets,7045336.0,4.553793375305943e-51,True,True,True,-0.0128,0.0224,-0.0352
Attr18,7045341.0,4.555989077799794e-51,True,True,True,-0.0128,0.0224,-0.0352
net_profit_to_assets,7073407.5,6.690669348493106e-50,True,True,True,-0.011,0.0174,-0.0283
Attr25,7227636.5,9.784263464668201e-44,True,True,True,0.1118,0.2297,-0.1179
Attr31,7232835.5,1.552788790617176e-43,True,True,True,0.0006,0.0172,-0.0165
Attr11,7272573.0,5.1062748946583065e-42,True,True,True,0.0046,0.0395,-0.0349
Attr22,7285145.0,1.4688635087408971e-41,True,True,True,0.0035,0.0345,-0.031
Attr42,7360889.0,9.25185705681968e-39,True,True,True,0.0031,0.0178,-0.0147
Attr55,7361315.5,9.905589858547856e-39,True,True,True,-0.44,307.03,-307.47
Attr38,7481664.0,1.7111097778419055e-34,True,True,True,0.3692,0.4751,-0.1058
Attr45,7499375.0,6.7857992442156596e-34,True,True,True,0.0068,0.101,-0.0942
Attr54,7508396.0,1.3785558689619393e-33,True,True,True,0.8834,1.1348,-0.2514
current_assets_to_short_liabilities,7535407.5,1.1054522578380472e-32,True,True,True,0.9975,1.1936,-0.1961
working_capital_to_assets,7553366.0,4.335888324260143e-32,True,True,True,-0.0019,0.0928,-0.0947
Attr28,7621078.0,6.66429564404319e-30,True,True,True,0.0112,0.2444,-0.2331
book_value_equity_to_liabilities,7628130.0,1.1155492057788366e-29,True,True,True,0.3637,0.5662,-0.2024
Attr17,7633577.5,1.6569131944881798e-29,True,True,True,1.3895,1.6008,-0.2113
total_liabilities_to_assets,11166513.0,2.1688156487652586e-29,True,True,True,0.7197,0.6245,0.0951
equity_to_assets,7647065.5,4.389321585926488e-29,True,True,True,0.2602,0.3542,-0.0939
retained_earnings_to_assets,7706512.5,6.775016428702405e-29,True,True,True,0.0,0.0,0.0
Attr63,7661498.5,1.2351326577202041e-28,True,True,True,3.0822,4.0126,-0.9304
Attr62,11140799.0,1.375590876084337e-28,True,True,True,117.725,90.084,27.641
Attr50,7677677.0,3.8991416610328366e-28,True,True,True,0.8153,0.9783,-0.163
Attr53,7706370.0,2.913834001843264e-27,True,True,True,0.6674,0.9272,-0.2598
Attr40,7709801.5,3.7035839416533496e-27,True,True,True,0.0549,0.1044,-0.0494
Attr48,7721915.5,8.558094745448465e-27,True,True,True,-0.0276,0.0,-0.0276
Attr51,11066953.5,2.3865517304380547e-26,True,True,True,0.5719,0.4731,0.0988
Attr32,11017529.0,6.658502970682885e-25,True,True,True,118.015,92.9955,25.0195
Attr49,7795576.0,1.2306449044584714e-24,True,True,True,-0.0144,0.0,-0.0144
Attr41,7830197.0,1.1789400391683242e-23,True,True,True,0.0549,0.1354,-0.0805
Attr30,10956042.0,3.645952245759074e-23,True,True,True,0.3676,0.2823,0.0853
cash_to_current_liabilities,7908362.0,1.6230529102190078e-21,True,True,True,-45.2515,-24.9325,-20.319
Attr15,8113826.5,2.101007347011672e-16,True,True,True,320.125,1465.1,-1144.975
Attr52,10640895.5,2.721827170631031e-15,True,True,True,0.3057,0.2548,0.0509
Attr56,8196086.0,1.454731534178162e-14,True,True,True,0.0084,0.0225,-0.0141
Attr33,8210132.0,2.919519505081313e-14,True,True,True,3.3033,3.9154,-0.6121
Attr57,8481667.5,4.361600268759989e-09,True,True,True,0.0227,0.0683,-0.0456
sales_to_assets,8610290.5,4.4319235202173206e-07,True,True,True,1.1364,1.2245,-0.0881
Attr29,8627098.0,7.725070221885239e-07,True,True,True,3.7994,3.8998,-0.1003
Attr21,8654949.0,1.8018359265787388e-06,True,True,True,1.0452,1.0452,0.0
Attr59,8765426.5,2.2017775228650997e-05,True,True,True,0.0,0.0048,-0.0048
Attr58,10061140.5,2.61065402631542e-05,True,True,True,0.987,0.9815,0.0054
Attr64,8754054.0,3.5896052655923726e-05,True,True,True,4.2825,4.6819,-0.3994
Attr47,8889023.5,0.001069158207640429,True,True,False,35.0665,37.219,-2.1525
Attr27,8983446.5,0.007588383070497037,True,True,False,1.0841,0.5629,0.5212
Attr34,9047186.0,0.02365990061957159,True,False,False,1.7192,1.858,-0.1389
Attr60,9063361.5,0.030806370732671434,True,False,False,9.7917,9.7917,0.0
Attr36,9103843.5,0.05727407114671669,False,False,False,1.7273,1.7958,-0.0686
Attr43,9643593.5,0.12316074530285667,False,False,False,101.66,97.208,4.452
Attr20,9282022.0,0.44444088603695675,False,False,False,36.587,36.485,0.102
Attr37,9341764.0,0.6884648224015926,False,False,False,3.0963,3.0963,0.0
Attr61,9389540.5,0.9371448813883405,False,False,False,7.3706,7.249,0.1215
Attr44,9396586.5,0.9729448551594607,False,False,False,49.0305,50.0955,-1.065
