feature,VIF,high_vif
ebit_to_assets,1702684169138.1838,True
Attr14,1702362361508.409,True
Attr18,4382200.363323417,True
book_value_equity_to_liabilities,239.94433150536312,True
Attr17,232.56628355577396,True
Attr16,211.34388166997877,True
Attr26,193.81640085505433,True
Attr19,175.65022503640725,True
Attr23,103.69983175309888,True
equity_to_assets,85.4410547720149,True
total_liabilities_to_assets,82.91024280142717,True
net_profit_to_assets,65.71355356231615,True
Attr49,59.43390625597923,True
Attr42,56.804518898638946,True
Attr54,49.02837271348799,True
Attr13,42.87514720997522,True
Attr22,28.695551558772173,True
Attr28,26.56198646255898,True
Attr32,25.411360450127514,True
Attr53,24.18451449291232,True
Attr52,23.39220813513492,True
Attr51,23.204763546350335,True
Attr38,22.28284392545651,True
Attr31,21.23369284465006,True
Attr11,19.380764062026667,True
current_assets_to_short_liabilities,18.112996646526458,True
Attr33,18.087430314268413,True
Attr50,17.50527728917203,True
Attr63,15.456418945551032,True
Attr48,13.500553489694752,True
Attr46,12.240171033492459,True
Attr39,10.952835834036975,True
Attr62,10.436848489558187,True
Attr35,10.118684991364047,True
Attr12,8.463916853955237,False
Attr30,6.476487748842206,False
Attr56,6.3717565249589265,False
working_capital_to_assets,5.839864244719964,False
Attr25,4.719834623585722,False
Attr58,4.550584328498112,False
retained_earnings_to_assets,2.635238383728501,False
Attr24,2.5062204268219865,False
Attr47,1.7288545108242717,False
Attr29,1.665350377751467,False
Attr55,1.2032435981141605,False
Attr45,1.2007219827855544,False
cash_to_current_liabilities,1.1526002015176566,False
Attr21,1.1258876905664918,False
Attr57,1.1160091999449693,False
Attr41,1.0861344722759552,False
