Rank,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,lift_vs_baseline,antecedents_str,consequents_str,has_distress,conf_safe,conf_diff,safe_ant_present
1,"frozenset({'Attr55=LOW', 'Attr58=HIGH'})",frozenset({'Attr12=LOW'}),0.23700305810397554,0.5091743119266054,0.22324159021406728,0.9419354838709677,1.8499273467015405,1.0,0.10256572117947424,8.453109072375122,0.602149504488429,0.4269005847953218,0.8817003316249623,0.6901869611547031,11.294584196507842,Attr55=LOW & Attr58=HIGH,Attr12=LOW,True,0.8358061325420376,0.10612935132893009,True
2,"frozenset({'working_capital_to_assets=LOW', 'Attr55=LOW', 'Attr58=HIGH'})",frozenset({'Attr12=LOW'}),0.2301223241590214,0.5091743119266054,0.21636085626911314,0.9401993355481727,1.8465176139594746,1.0,0.09918848020649217,8.207696228338422,0.5954712770325039,0.41374269005847963,0.8781631322383332,0.6825621302365488,11.273766344600567,Attr55=LOW & Attr58=HIGH & working_capital_to_assets=LOW,Attr12=LOW,True,0.8395694515633009,0.10062988398487183,True
3,"frozenset({'working_capital_to_assets=LOW', 'cash_to_current_liabilities=LOW', 'Attr24=LOW'})",frozenset({'Attr12=LOW'}),0.22247706422018348,0.5091743119266054,0.20642201834862386,0.9278350515463918,1.8222346057397607,1.0,0.09314241225486072,6.80144167758847,0.5803343166175026,0.3930131004366813,0.8529723480104057,0.6666202284758986,11.125508370377377,Attr24=LOW & cash_to_current_liabilities=LOW & working_capital_to_assets=LOW,Attr12=LOW,True,0.7822014051522248,0.14563364639416698,True
4,"frozenset({'Attr55=LOW', 'cash_to_current_liabilities=LOW', 'Attr24=LOW'})",frozenset({'Attr12=LOW'}),0.22018348623853212,0.5091743119266054,0.20412844036697247,0.9270833333333333,1.8207582582582582,1.0,0.09201666526386668,6.731323722149404,0.5780568407138137,0.38864628820960706,0.8514408099688472,0.663992117117117,11.116494648318042,Attr24=LOW & Attr55=LOW & cash_to_current_liabilities=LOW,Attr12=LOW,True,0.7807807807807807,0.14630255255255253,True
5,"frozenset({'retained_earnings_to_assets=LOW', 'Attr58=HIGH'})","frozenset({'Attr24=LOW', 'Attr12=LOW'})",0.2691131498470948,0.441131498470948,0.2492354740061162,0.9261363636363636,2.0994564361115486,1.0,0.1305211869558305,7.566219713008705,0.7165079446569295,0.5406301824212273,0.8678336027857232,0.7455638490625492,11.105139699749792,Attr58=HIGH & retained_earnings_to_assets=LOW,Attr12=LOW & Attr24=LOW,True,0.8189690721649485,0.10716729147141513,True
6,"frozenset({'Attr55=LOW', 'Attr24=LOW'})",frozenset({'Attr12=LOW'}),0.28134556574923547,0.5091743119266054,0.2599388379204893,0.9239130434782608,1.8145319232275754,1.0,0.11668490306652077,6.450851900393176,0.6246307884856069,0.4899135446685879,0.8449817147501014,0.7172117769943857,11.0784802552852,Attr24=LOW & Attr55=LOW,Attr12=LOW,True,0.7777272727272727,0.14618577075098804,True
7,"frozenset({'working_capital_to_assets=LOW', 'Attr55=LOW', 'Attr24=LOW'})",frozenset({'Attr12=LOW'}),0.27293577981651373,0.5091743119266054,0.2515290519877676,0.9215686274509806,1.8099275746334575,1.0,0.11255716409954272,6.258027522935794,0.6154775488287806,0.4740634005763689,0.840205240974895,0.7077813107224873,11.050368771361757,Attr24=LOW & Attr55=LOW & working_capital_to_assets=LOW,Attr12=LOW,True,0.7804419370004703,0.1411266904505103,True
8,"frozenset({'cash_to_current_liabilities=LOW', 'Attr24=LOW'})",frozenset({'Attr12=LOW'}),0.2622324159021407,0.5091743119266054,0.2415902140672783,0.9212827988338191,1.809366217529483,1.0,0.10806820413545437,6.235304111450893,0.6063159965894931,0.455988455988456,0.8396228985586222,0.6978786366541468,11.046941450236712,Attr24=LOW & cash_to_current_liabilities=LOW,Attr12=LOW,True,0.7717842323651453,0.14949856646867388,True
9,"frozenset({'working_capital_to_assets=LOW', 'Attr24=LOW'})",frozenset({'Attr12=LOW'}),0.2889908256880734,0.5091743119266054,0.26605504587155965,0.9206349206349207,1.8080938080938085,1.0,0.1189083410487333,6.184403669724776,0.628587319243604,0.5000000000000001,0.8383029224150721,0.7215787215787217,11.039172855686617,Attr24=LOW & working_capital_to_assets=LOW,Attr12=LOW,True,0.7817546922741162,0.1388802283608045,True
10,frozenset({'Attr58=HIGH'}),frozenset({'Attr12=LOW'}),0.42201834862385323,0.5091743119266054,0.38837920489296635,0.9202898550724636,1.8074161117639378,1.0,0.17349830261201357,6.157631359466213,0.7729033870766154,0.7154929577464788,0.8375998916429633,0.8415263089176133,11.035035234676238,Attr58=HIGH,Attr12=LOW,True,0.8029418126757517,0.11734804239671193,True
