group_signature,n_rule_instances,max_lift,max_confidence
"(frozenset({3, 4}), frozenset({6}))",33,8.19080473913655,0.7147435897435899
"(frozenset({3}), frozenset({6}))",18,7.687602833638026,0.6708333333333334
"(frozenset({4}), frozenset({6}))",12,7.194067512938691,0.6277665995975854
"(frozenset({4, 5}), frozenset({6}))",12,7.896068355107683,0.6890243902439025
"(frozenset({3, 4}), frozenset({5}))",10,8.793039219067987,0.7672955974842768
"(frozenset({6}), frozenset({4}))",7,7.22182401434928,0.630188679245283
"(frozenset({3, 6}), frozenset({4}))",7,8.908663380727514,0.7773851590106007
"(frozenset({1, 4}), frozenset({6}))",6,7.861129999554109,0.6859756097560976
"(frozenset({8}), frozenset({6}))",5,8.075285826600108,0.7046632124352332
"(frozenset({3, 4}), frozenset({1}))",5,8.529933795992262,0.7443365695792881
"(frozenset({2}), frozenset({6}))",4,8.066926317462839,0.7039337474120082
"(frozenset({7}), frozenset({6}))",4,9.19671470050543,0.8025210084033613
"(frozenset({5, 6}), frozenset({4}))",4,9.192120851932481,0.8021201413427562
"(frozenset({9}), frozenset({6}))",4,7.763077195258596,0.6774193548387097
"(frozenset({1, 6}), frozenset({4}))",4,8.464214866389202,0.7386018237082067
"(frozenset({2, 6}), frozenset({4}))",4,7.946812157221206,0.6934523809523809
"(frozenset({2, 3}), frozenset({6}))",3,9.21764963039504,0.8043478260869565
"(frozenset({4}), frozenset({5}))",3,7.863615154551643,0.6861924686192469
"(frozenset({1, 5}), frozenset({6}))",3,7.92836786205449,0.6918429003021147
"(frozenset({3}), frozenset({1}))",3,7.358385451746368,0.6421052631578947
"(frozenset({1}), frozenset({6}))",3,7.379741995603895,0.6439688715953308
"(frozenset({3, 5}), frozenset({4}))",3,9.423373612163909,0.8222996515679443
"(frozenset({1, 2}), frozenset({6}))",3,8.07931436152141,0.7050147492625368
"(frozenset({2, 4}), frozenset({6}))",3,8.654110193532118,0.7551724137931034
"(frozenset({1, 3}), frozenset({4}))",3,9.06750318541909,0.7912457912457912
"(frozenset({3}), frozenset({4}))",3,8.27650822669104,0.7222222222222222
"(frozenset({3}), frozenset({5}))",2,7.870864444189986,0.6868250539956804
"(frozenset({4, 6}), frozenset({5}))",2,8.690974565353422,0.7583892617449665
"(frozenset({5}), frozenset({4}))",2,8.382404663073864,0.7314629258517035
"(frozenset({5}), frozenset({3}))",1,7.303026528376681,0.6372745490981965
"(frozenset({1, 5}), frozenset({4}))",1,9.209370529722683,0.8036253776435045
"(frozenset({5}), frozenset({6}))",1,7.073371606100684,0.6172344689378758
"(frozenset({2}), frozenset({4}))",1,7.616127493839916,0.6645962732919254
"(frozenset({1}), frozenset({4}))",1,8.026305493708163,0.7003891050583657
"(frozenset({4}), frozenset({1}))",1,7.324093663383853,0.6391129032258065
"(frozenset({2, 3}), frozenset({4}))",1,9.17612868611398,0.8007246376811594
"(frozenset({3, 4}), frozenset({2}))",1,7.437684915950767,0.649025069637883
"(frozenset({2, 5}), frozenset({4}))",1,9.364982013327829,0.8172043010752689
"(frozenset({1, 2}), frozenset({4}))",1,8.586384300529032,0.7492625368731564
