factor_id,layer,hit_rate_train,hit_rate_holdout,hit_rate_gap
L1-01,1,0.12538736591179978,0.12003780718336483,0.005349558728434942
L1-02,1,0.12309160305343511,0.12026515151515152,0.002826451538283592
L1-03,1,0.12112541726275632,0.12190650779101742,-0.0007810905282610997
L1-04,1,0.11537544696066745,0.10869565217391304,0.006679794786754414
L1-05,1,0.1206485455412494,0.1038961038961039,0.0167524416451455
L1-06,1,0.11587982832618025,0.09953917050691244,0.016340657819267815
L1-07,1,0.12178619756427606,0.1170858629661752,0.004700334598100861
L1-08,1,0.1299381247025226,0.12815715622076707,0.001780968481755546
L1-09,1,0.1306628516928946,0.12476722532588454,0.005895626367010062
L1-10,1,0.12437455325232309,0.12352406902815623,0.0008504842241668642
L1-11,1,0.12157037697970109,0.1172945205479452,0.0042758564317558895
L1-12,1,0.11850262279446828,0.10166358595194085,0.01683903684252744
L1-13,1,0.13420738974970203,0.13063909774436092,0.003568292005341117
L1-14,1,0.13271384322134858,0.12906220984215414,0.003651633379194441
L1-15,1,0.1334604385128694,0.1302717900656045,0.003188648447264908
L1-16,1,0.1334604385128694,0.1302717900656045,0.003188648447264908
L1-17,1,0.1334604385128694,0.1302717900656045,0.003188648447264908
L1-18,1,0.11185308848080133,0.0944954128440367,0.01735767563676463
L1-19,1,0.12797902764537655,0.12642585551330798,0.0015531721320685699
L1-20,1,0.14210400191708603,0.14408396946564886,-0.001979967548562833
L1-21,1,0.13989513822688274,0.13770180436847104,0.0021933338584116946
L1-22,1,0.14160549372484016,0.14393226716839136,-0.0023267734435512
L1-23,1,0.11651179413867048,0.10849909584086799,0.00801269829780249
L1-24,1,0.11609058402860549,0.11050228310502283,0.005588300923582659
L1-25,1,0.1334604385128694,0.1301498127340824,0.003310625778786991
L1-26,1,0.1222301644031451,0.10830324909747292,0.01392691530567218
L1-27,1,0.11683357176919408,0.11313868613138686,0.0036948856378072187
L1-28,1,0.11850262279446828,0.11732355637030248,0.001179066424165806
L1-29,1,0.11939942802669208,0.10969637610186092,0.00970305192483116
L1-30,1,0.09725864123957091,0.09596928982725528,0.001289351412315634
L1-31,1,0.13506431634111482,0.1407907425265188,-0.005726426185403977
L1-32,1,0.12032404098165356,0.0999057492931197,0.02041829168853386
L1-33,1,0.13444576877234804,0.13145539906103287,0.002990369711315166
L1-34,1,0.11036948748510131,0.10186915887850467,0.008500328606596635
L1-35,1,0.1435041716328963,0.14147286821705427,0.0020313034158420396
L1-36,1,0.1437425506555423,0.14133591481122942,0.0024066358443128877
L1-37,1,0.11506326092146096,0.109375,0.005688260921460964
L1-38,1,0.09199237368922783,0.09586466165413533,-0.003872287964907503
L1-39,1,0.11918951132300358,0.10944808231992516,0.009741429003078422
L1-40,1,0.12061978545887962,0.10453283996299723,0.016086945495882396
L1-41,1,0.12538736591179978,0.12406015037593984,0.0013272155358599325
L1-42,1,0.1255003531904874,0.1216089803554724,0.0038913728350150056
L1-43,1,0.12038140643623362,0.12154696132596685,-0.0011655548897332307
L1-44,1,0.1356700047687172,0.13942307692307693,-0.0037530721543597156
L2-01,2,0.1260693381359748,0.11301369863013698,0.01305563950583781
L2-02,2,0.13327247832040165,0.11855670103092783,0.01471577728947382
L2-03,2,0.11993323795898903,0.0999057492931197,0.020027488665869328
L2-04,2,0.13474178403755868,0.13627992633517497,-0.001538142297616285
L2-05,2,0.12893356643356643,0.12312811980033278,0.005805446633233652
L2-06,2,0.13436223331820246,0.140597539543058,-0.006235306224855547
L2-07,2,0.13727232341181697,0.12980769230769232,0.007464631104124653
L2-08,2,0.14624145785876994,0.12956810631229235,0.01667335154647759
L2-09,2,0.127435697583788,0.11764705882352941,0.009788638760258594
L2-10,2,0.14131455399061033,0.11986301369863013,0.021451540291980195
L2-11,2,0.1309004363347878,0.12727272727272726,0.00362770906206053
L2-12,2,0.1288906624102155,0.12878787878787878,0.00010278362233670513
L2-13,2,0.12439807383627609,0.11773700305810397,0.006661070778172115
L2-14,2,0.12255772646536411,0.12092391304347826,0.0016338134218858574
L2-15,2,0.14265402843601896,0.1310344827586207,0.011619545677398257
L2-16,2,0.1310204081632653,0.12116564417177914,0.00985476399148616
