segment,n_train,n_defaulters_train,baseline_dr_train,mean_warnings_train,optimal_threshold_train,best_f1_train,best_precision_train,best_recall_train,n_holdout,n_defaulters_holdout,baseline_dr_holdout,mean_warnings_holdout,optimal_threshold_holdout,best_f1_holdout,best_precision_holdout,best_recall_holdout,segment_type
A→AA,984,18,0.0183,5.34,22,0.1053,0.069,0.2222,248,2,0.0081,5.0,10,0.0435,0.0227,0.5,transition
BBB→A,1734,46,0.0265,7.44,24,0.0805,0.0547,0.1522,424,10,0.0236,7.83,22,0.125,0.0741,0.4,transition
BB→BBB,2421,106,0.0438,10.05,25,0.0888,0.0614,0.1604,642,21,0.0327,10.48,25,0.098,0.0617,0.2381,transition
B→BB,3423,243,0.071,17.12,1,0.1347,0.0723,0.9877,877,54,0.0616,17.23,28,0.1511,0.0994,0.3148,transition
CCC→B,3975,681,0.1713,36.45,9,0.2968,0.1775,0.906,972,145,0.1492,37.87,9,0.2682,0.1565,0.9379,transition
Year 1,1913,135,0.0706,13.96,4,0.1604,0.0891,0.8074,503,28,0.0557,15.5,29,0.1732,0.1111,0.3929,horizon
Year 2,3022,200,0.0662,20.09,10,0.138,0.0771,0.655,775,37,0.0477,20.19,21,0.1296,0.0723,0.6216,horizon
Year 3,3083,254,0.0824,20.89,23,0.1852,0.1115,0.5472,753,54,0.0717,21.74,29,0.1864,0.1156,0.4815,horizon
Year 4,2891,271,0.0937,21.22,27,0.2454,0.1583,0.5461,734,61,0.0831,21.21,26,0.2201,0.1362,0.5738,horizon
Year 5,1628,234,0.1437,20.15,27,0.4251,0.312,0.6667,398,52,0.1307,19.68,25,0.4043,0.2794,0.7308,horizon
