variable,n_folds_as_L1,n_folds_in_L2,n_folds_any_layer,l1_fold_ids,l2_fold_ids
Attr29,5,0,5,"[0, 1, 2, 3, 4]",[]
Attr14,5,0,5,"[0, 1, 2, 3, 4]",[]
Attr12,5,2,5,"[0, 1, 2, 3, 4]","[0, 3]"
net_profit_to_assets,5,1,5,"[0, 1, 2, 3, 4]",[3]
Attr11,5,0,5,"[0, 1, 2, 3, 4]",[]
Attr55,5,5,5,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]"
Attr31,5,0,5,"[0, 1, 2, 3, 4]",[]
Attr52,5,5,5,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]"
Attr49,5,4,5,"[0, 1, 2, 3, 4]","[0, 1, 3, 4]"
total_liabilities_to_assets,5,0,5,"[0, 1, 2, 3, 4]",[]
cash_to_current_liabilities,5,5,5,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]"
Attr25,5,3,5,"[0, 1, 2, 3, 4]","[0, 2, 4]"
Attr51,5,0,5,"[0, 1, 2, 3, 4]",[]
Attr35,5,4,5,"[0, 1, 2, 3, 4]","[0, 1, 3, 4]"
Attr22,5,0,5,"[0, 1, 2, 3, 4]",[]
Attr42,5,0,5,"[0, 1, 2, 3, 4]",[]
Attr39,5,0,5,"[0, 1, 2, 3, 4]",[]
Attr48,5,0,5,"[0, 1, 2, 3, 4]",[]
Attr56,5,2,5,"[0, 1, 2, 3, 4]","[1, 4]"
Attr19,5,0,5,"[0, 1, 2, 3, 4]",[]
working_capital_to_assets,5,5,5,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]"
Attr41,5,0,5,"[0, 1, 2, 3, 4]",[]
Attr38,5,3,5,"[0, 1, 2, 3, 4]","[0, 3, 4]"
Attr26,5,1,5,"[0, 1, 2, 3, 4]",[4]
Attr23,5,0,5,"[0, 1, 2, 3, 4]",[]
Attr24,5,3,5,"[0, 1, 2, 3, 4]","[0, 1, 4]"
Attr32,5,0,5,"[0, 1, 2, 3, 4]",[]
equity_to_assets,5,0,5,"[0, 1, 2, 3, 4]",[]
Attr18,5,0,5,"[0, 1, 2, 3, 4]",[]
Attr63,5,5,5,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]"
Attr58,5,0,5,"[0, 1, 2, 3, 4]",[]
ebit_to_assets,5,0,5,"[0, 1, 2, 3, 4]",[]
Attr30,5,5,5,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]"
Attr57,5,5,5,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]"
Attr16,5,0,5,"[0, 1, 2, 3, 4]",[]
retained_earnings_to_assets,5,5,5,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]"
Attr62,5,0,5,"[0, 1, 2, 3, 4]",[]
Attr21,5,0,5,"[0, 1, 2, 3, 4]",[]
Attr13,5,3,5,"[0, 1, 2, 3, 4]","[0, 1, 4]"
Attr54,3,1,3,"[0, 1, 2]",[1]
Attr15,3,1,3,"[1, 2, 3]",[1]
Attr53,3,2,3,"[0, 1, 2]","[0, 2]"
Attr45,2,1,2,"[2, 4]",[4]
Attr28,2,0,2,"[0, 2]",[]
Attr33,2,0,2,"[0, 4]",[]
Attr46,2,1,2,"[0, 4]",[4]
Attr20,1,0,1,[4],[]
Attr43,1,0,1,[4],[]
Attr47,1,0,1,[1],[]
