threshold,mean_f1,std_f1,mean_precision,mean_recall
1,0.15394689530249478,0.006394905261036682,0.0835509412592457,0.9796728980487865
2,0.159050898300929,0.004833757682503206,0.08679708604155026,0.9510580540167272
3,0.16655340164914578,0.005739398966637758,0.09161474334257995,0.9173987773619257
4,0.1724573432939152,0.006034706561419101,0.09561919237528169,0.8807901349070077
5,0.17586215287270912,0.005563270451303276,0.0982071797281061,0.8434790658073101
6,0.1791600142304591,0.0058413491898908565,0.1007069060270116,0.814547683178902
7,0.1823499451272176,0.004642673119476239,0.10316750675713751,0.7882055664195702
8,0.18353819655856055,0.0047367453897820665,0.10445193522815517,0.7602183297471532
9,0.1857150303406459,0.004143619845858549,0.10631123883638378,0.7384535735957163
10,0.1880933080430151,0.005042158311432843,0.10826308414259116,0.7211128786767113
11,0.19094872110398348,0.005394828214335357,0.11048141358793792,0.7077806150035684
12,0.19210499020206445,0.0063235994570833495,0.1117217444178615,0.689835711717786
13,0.19311686969737935,0.006102665144302324,0.11279635846851362,0.6756764330836453
14,0.19333717372053863,0.006639270682655045,0.1133441656981791,0.6617605470185095
15,0.19430116220945945,0.006069227349665906,0.11438825323060617,0.6492326570886717
16,0.19546192967644527,0.006710580709728869,0.11555241220906731,0.6383212639398478
17,0.19577002351707382,0.007779626890621746,0.11620477639333097,0.6256887918325138
18,0.19650834798050357,0.009022850773365787,0.11714987450803682,0.6136106031183683
19,0.1975270343788408,0.008647465332445864,0.11823010769873596,0.6043219816804971
20,0.19997426545890226,0.010164133200610477,0.12024751539123664,0.5980983823534494
21,0.20119939907051063,0.010466977796294512,0.12163271208494723,0.5864266004289694
22,0.20251982093401058,0.010597986469074635,0.12318882311378761,0.573892906523862
23,0.20248224050090508,0.014231302125742102,0.12413542515875191,0.5537772013278726
24,0.2055223244862821,0.015271249347209184,0.1269007357639899,0.5450663512456089
25,0.206122780042934,0.01481943857965883,0.1283711862102622,0.5277518473833294
26,0.20601296573504507,0.014542787805577759,0.12947598498944396,0.50869576755731
27,0.20619983448384832,0.01494810995595367,0.13156375394929118,0.48200295200295196
28,0.20435481341395695,0.015887748762850436,0.13273240834354563,0.45024473664773745
29,0.2044385737416654,0.014643932425946589,0.13482494174969878,0.4298708367107946
30,0.20610196295942335,0.014622383616263524,0.13770820208910833,0.41657668601469594
31,0.20413925638988067,0.012048460075537608,0.13788235034659116,0.40040863769739793
32,0.2021625766608787,0.008894992958018542,0.1386648048967389,0.3809233327066967
33,0.2010827906329463,0.009964784555999955,0.13994207802271977,0.36532454867543046
34,0.19755538414123594,0.008160012396393647,0.13944259690419666,0.3476676288692609
35,0.19573437041547487,0.009019481504500373,0.14006768901280614,0.33442883028958315
36,0.19626543496356968,0.00843405171632426,0.14298574852299173,0.32253343693459513
37,0.194137523726544,0.008077376002515029,0.14423257437446554,0.3069168119312894
38,0.19190991006366076,0.009138860953796516,0.14496877909846947,0.2938199926394188
39,0.19005011160117066,0.011429219204113498,0.14589039836084186,0.2828159862945333
40,0.1890196320499788,0.010924738666076236,0.14793101695072897,0.27169279371174604
41,0.18867551600262775,0.01135245924232266,0.14953864085608184,0.2655711205290042
42,0.18652830587975425,0.009562802338790562,0.15028562875616375,0.2559688624824187
43,0.1855932922382007,0.01147430984760907,0.15255914349336552,0.24756843305145493
44,0.18473144319708418,0.012655085361303027,0.15456320686302424,0.23972237598323415
45,0.18529721397699467,0.012480961295195096,0.15883618679258485,0.23251774645299256
46,0.1856863886946084,0.012894049613764117,0.1631079128499789,0.22622493292274815
47,0.18263795219974205,0.013439867805671177,0.1647380465579853,0.2160076843493532
48,0.17835188810749558,0.01651797261418957,0.16668077377149298,0.20268691870297556
49,0.1794939140173008,0.017765816698280208,0.1719461456949277,0.1988436668444565
50,0.17972832246696951,0.020629575318229596,0.17640182150246697,0.19501504000056252
